id,title,json,genre,release_date,runtime,seasons,plot
tt0132666,The Wonderful World of Disney,"{u'Plot': u'Experience the magic and adventure from Walt Disney world of color', u'Rated': u'N/A', u'Title': u'The Wonderful World of Disney', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.0/10'}], u'Writer': u'Dick Clair, Jenna McMahon', u'Actors': u'David Sparrow, Will Friedle, Laurie Murdoch, Neil Crone', u'Type': u'series', u'imdbVotes': u'133', u'totalSeasons': u'39', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYTkzZWE1MDEtNzA1MS00NjY3LTgxMGQtZWQxNDdjMzc5YWQ2XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'28 Sep 1997', u'Awards': u'Won 1 Primetime Emmy. Another 4 nominations.', u'Genre': u'Animation, Action, Adventure', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'120 min', u'imdbID': u'tt0132666', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Year': u'1995\u20132005'}","animation, action, adventure",28 Sep 1997,120,39,Experience the magic and adventure from Walt Disney world of color
tt0118289,Cow and Chicken,"{u'Plot': u'The program focuses on the misadventures of two unlikely yet somehow biological siblings: Cow and Chicken.', u'Rated': u'TV-PG', u'Title': u'Cow and Chicken', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.7/10'}], u'Writer': u'David Feiss', u'Actors': u'Charlie Adler, Candi Milo, Dee Bradley Baker, Michael Dorn', u'Type': u'series', u'imdbVotes': u'14,415', u'totalSeasons': u'4', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDFkYjE4ZGYtZDkyNC00ZmFiLWJiMGYtNjlmZWVmYWEwNTZhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'15 Jul 1997', u'Awards': u'Nominated for 2 Primetime Emmys. Another 3 wins & 9 nominations.', u'Genre': u'Animation, Comedy, Family', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt0118289', u'Metascore': u'N/A', u'imdbRating': u'6.7', u'Year': u'1995\u20131999'}","animation, comedy, family",15 Jul 1997,30,4,The program focuses on the misadventures of two unlikely yet somehow biological siblings: Cow and Chicken.
tt0122355,Mortal Kombat: Defenders of the Realm,"{u'Plot': u'Fighters from Mortal Kombat tournaments from other worlds and dimensions are invading Earth through dimensional tears, using it as their practice ground, and for more sinister purposes. An elite group of highly trained fighters has been assembled to locate these intrusions and fight off the aliens before Earth is laid waste, and its dimensional structure is destroyed.', u'Rated': u'TV-Y7', u'Title': u'Mortal Kombat: Defenders of the Realm', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.1/10'}], u'Writer': u'N/A', u'Actors': u""Clancy Brown, Olivia d'Abo, Dorian Harewood, Luke Perry"", u'Type': u'series', u'imdbVotes': u'843', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYTdiOTg0ZmMtNGE1NC00MGM4LTkxZGYtYzdiODRjNDE3MzIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'21 Sep 1996', u'Awards': u'N/A', u'Genre': u'Action, Animation, Sci-Fi', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt0122355', u'Metascore': u'N/A', u'imdbRating': u'6.1', u'Year': u'1995\u20131996'}","action, animation, sci-fi",21 Sep 1996,30,1,"Fighters from Mortal Kombat tournaments from other worlds and dimensions are invading Earth through dimensional tears, using it as their practice ground, and for more sinister purposes. An elite group of highly trained fighters has been assembled to locate these intrusions and fight off the aliens before Earth is laid waste, and its dimensional structure is destroyed."
tt0222529,Bibleman,"{u'Plot': u'Miles Peterson, a regular guy with the best the world had to offer, turned to God and the Bible in his most desperate hour and from then on pledged to fight evil with the word of God. Disguised in the full armor of God as Bible Man, Miles fights against enemies of darkness using scripture.', u'Rated': u'N/A', u'Title': u'Bibleman', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'2.5/10'}], u'Writer': u'Tony Salerno', u'Actors': u'Willie Aames, Maylo McCaslin, Brady Williams, Brian Lemmons', u'Type': u'series', u'imdbVotes': u'350', u'totalSeasons': u'5', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'06 May 2004', u'Awards': u'N/A', u'Genre': u'N/A', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0222529', u'Metascore': u'N/A', u'imdbRating': u'2.5', u'Year': u'1996\u2013'}",n/a,06 May 2004,n/a,5,"Miles Peterson, a regular guy with the best the world had to offer, turned to God and the Bible in his most desperate hour and from then on pledged to fight evil with the word of God. Disguised in the full armor of God as Bible Man, Miles fights against enemies of darkness using scripture."
tt0112216,WMAC Masters,"{u'Plot': u'For centuries, each of the various martial arts disciplines declared its techniques superior to those of the competing combat arts. But there existed no forum in which to prove these claims. Finally, the grand masters set aside their differences and formed a governing body, The World Martial Arts Council to determine the greatest martial artist on earth.', u'Rated': u'N/A', u'Title': u'WMAC Masters', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.9/10'}], u'Writer': u'Alfred Kahn, Carlin West', u'Actors': u'Herb Perez, Hakim Alston, Ho-Sung Pak, Jamie Webster', u'Type': u'series', u'imdbVotes': u'213', u'totalSeasons': u'2', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTMxZTc4MjEtMzljZC00NzJiLWJiZGYtZmRkMjMwNjRiYzI4XkEyXkFqcGdeQXVyNTQ0MjI5MjM@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Sport', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0112216', u'Metascore': u'N/A', u'imdbRating': u'7.9', u'Year': u'1995\u20131996'}",sport,N/A,n/a,2,"For centuries, each of the various martial arts disciplines declared its techniques superior to those of the competing combat arts. But there existed no forum in which to prove these claims. Finally, the grand masters set aside their differences and formed a governing body, The World Martial Arts Council to determine the greatest martial artist on earth."
tt0112097,Night Stand,"{u'Plot': u""Of all the talk shows, there's only one show that doesn't hesitate to take up such serious issues as teenage prostitution, aliens from outer space or breast implants in the Dick Dietrick style."", u'Rated': u'N/A', u'Title': u'Night Stand', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.9/10'}], u'Writer': u'Paul Abeyta, Peter Kaikko, Timothy Stack', u'Actors': u'Timothy Stack', u'Type': u'series', u'imdbVotes': u'432', u'totalSeasons': u'2', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'60 min', u'imdbID': u'tt0112097', u'Metascore': u'N/A', u'imdbRating': u'8.9', u'Year': u'1995\u20131999'}",comedy,N/A,60,2,"Of all the talk shows, there's only one show that doesn't hesitate to take up such serious issues as teenage prostitution, aliens from outer space or breast implants in the Dick Dietrick style."
tt0402610,Acapulco Bay,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Acapulco Bay', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.8/10'}], u'Writer': u'N/A', u'Actors': u'Ash Adams, Anthony Alvarez, Neville Archambault, Jaime Aymerich', u'Type': u'series', u'imdbVotes': u'61', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Romance, Drama', u'Response': u'True', u'Language': u'English', u'Country': u'Mexico, USA', u'Runtime': u'30 min', u'imdbID': u'tt0402610', u'Metascore': u'N/A', u'imdbRating': u'7.8', u'Year': u'1995\u2013'}","romance, drama",N/A,30,1,
tt1808960,Hard Hat Harry,"{u'Plot': u""Join Hard Hat Harry, the loveable genie, for journeys' into the worlds of helicopters, construction, motorcycles, race cars, and many more. Harry magically appears and takes you on a thrilling one-of-a-kind adventure."", u'Rated': u'N/A', u'Title': u'Hard Hat Harry', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.2/10'}], u'Writer': u'N/A', u'Actors': u'Anthony Meindl', u'Type': u'series', u'imdbVotes': u'16', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Family', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt1808960', u'Metascore': u'N/A', u'imdbRating': u'8.2', u'Year': u'1995\u20131996'}",family,N/A,30,n/a,"Join Hard Hat Harry, the loveable genie, for journeys' into the worlds of helicopters, construction, motorcycles, race cars, and many more. Harry magically appears and takes you on a thrilling one-of-a-kind adventure."
tt0127999,Hometime,"{u'Plot': u'Detailed information on how to install and repair various areas /parts of the home. The main host, Dean Johnson shares in-depth, yet easy to follow DIY instructions . Along with input and video clips from the manufacturers of the products that are used.', u'Rated': u'TV-G', u'Title': u'Hometime', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.3/10'}], u'Writer': u'N/A', u'Actors': u'Miriam Johnson', u'Type': u'series', u'imdbVotes': u'68', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'N/A', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt0127999', u'Metascore': u'N/A', u'imdbRating': u'8.3', u'Year': u'1995\u2013'}",n/a,N/A,30,n/a,"Detailed information on how to install and repair various areas /parts of the home. The main host, Dean Johnson shares in-depth, yet easy to follow DIY instructions . Along with input and video clips from the manufacturers of the products that are used."
tt0813911,Time Warped,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Time Warped', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.1/10'}], u'Writer': u'N/A', u'Actors': u'Jason McHugh', u'Type': u'series', u'imdbVotes': u'103', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'24 min', u'imdbID': u'tt0813911', u'Metascore': u'N/A', u'imdbRating': u'7.1', u'Year': u'1995\u2013'}",comedy,N/A,24,1,
