id,title,json,genre,release_date,runtime,seasons
tt1608383,Black Dynamite,"{u'Plot': u""The Black Dynamite animated series further chronicles the exploits of the central character, Black Dynamite and his crew. Action comedy-spoof that follows ex-CIA agent and full-time ladies man, Black Dynamite, who's out to avenge the death of his brother against kung-fu masters, drug-dealing pimps and The Man."", u'Rated': u'TV-MA', u'Title': u'Black Dynamite', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.1/10'}], u'Writer': u'Byron Minns, Scott Sanders, Michael Jai White', u'Actors': u'Michael Jai White, Byron Minns, Kym Whitley, Tommy Davidson', u'Type': u'series', u'imdbVotes': u'3,002', u'totalSeasons': u'2', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNjY3NzI4Nl5BMl5BanBnXkFtZTcwODkwMzkwOA@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'15 Jul 2012', u'Awards': u'N/A', u'Genre': u'Animation, Action, Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'22 min', u'imdbID': u'tt1608383', u'Metascore': u'N/A', u'imdbRating': u'8.1', u'Year': u'2011\u20132015'}","animation, action, comedy",15 Jul 2012,22,2
tt1772201,Wild Card,"{u'Plot': u'What happens in Vegas stays in Vegas... but only if you have a good lawyer. In this witty procedural about people behaving badly, two very different lawyers handle the type of problems that happen after the sun goes down and need to be solved before the sun comes up.', u'Rated': u'N/A', u'Title': u'Wild Card', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'5.8/10'}], u'Writer': u'N/A', u'Actors': u'Jennifer Finnigan, Ben Lawson, Edi Gathegi, Julie White', u'Type': u'series', u'imdbVotes': u'210', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTRiYTZlZTItZjczYi00NWE2LWJiMmMtODhjMjlhOGVkZWNmXkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy, Drama', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt1772201', u'Metascore': u'N/A', u'imdbRating': u'5.8', u'Year': u'2011\u2013'}","comedy, drama",N/A,n/a,1
tt1730523,H+,"{u'Plot': u'A future-set story in which a virus has wiped out most of the human race, and those still alive have their minds linked to the Internet 24 hours a day. Here, a viral incident leads to a new world order.', u'Rated': u'N/A', u'Title': u'H+', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.3/10'}], u'Writer': u'N/A', u'Actors': u'David Clayton Rogers, Francesca Fanti, Hannah Herzsprung, Amir Arison', u'Type': u'series', u'imdbVotes': u'629', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Njc1ODA4OF5BMl5BanBnXkFtZTgwOTUwODUzNDE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'08 Aug 2012', u'Awards': u'4 wins & 7 nominations.', u'Genre': u'Sci-Fi', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt1730523', u'Metascore': u'N/A', u'imdbRating': u'7.3', u'Year': u'2011\u2013'}",sci-fi,08 Aug 2012,n/a,1
tt2852666,TMZ Live,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'TMZ Live', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'4.4/10'}], u'Writer': u'N/A', u'Actors': u'Heather Ross, Heather Ross, Kimberly D. Worthy', u'Type': u'series', u'imdbVotes': u'52', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMGViMjQyODMtZTk0YS00NDRjLThmNzYtYTEyMzcyYjZmMzZmXkEyXkFqcGdeQXVyMjgzMzAzMjE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'12 Mar 2012', u'Awards': u'N/A', u'Genre': u'News', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt2852666', u'Metascore': u'N/A', u'imdbRating': u'4.4', u'Year': u'2011\u2013'}",news,12 Mar 2012,n/a,n/a
tt2559314,The Screen Junkies Show,"{u'Plot': u'A look at the best movies, directors, TV shows and everything else related to movies.', u'Rated': u'N/A', u'Title': u'The Screen Junkies Show', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.6/10'}], u'Writer': u'Andy Signore, Brett Weiner', u'Actors': u'Hal Rudnick', u'Type': u'series', u'imdbVotes': u'833', u'totalSeasons': u'7', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTgwODAwNDYxNl5BMl5BanBnXkFtZTgwMjI2MDY4MjE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'13 Feb 2012', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt2559314', u'Metascore': u'N/A', u'imdbRating': u'8.6', u'Year': u'2011\u2013'}",comedy,13 Feb 2012,n/a,7
tt3239958,Hitler and the Nazis,"{u'Plot': u""In 1919, a corporal in the German Army was sent home after the end of World War One. He found his country in economic and social ruins, its heritage and pride irreparably damaged by the Western allies of France, Britain, and the United States. It was a time ripe for change. And Adolf Hitler vowed not only to restore his country to its rightful glory, but to someday, personally, exact excruciating revenge upon its enemies. First in politics, and then with his unbeatable Wehrmacht, Hitler and the Nazis would not only achieve this goal, but come close to taking over the entire world. They left behind a wake of terror and destruction still felt to this day, and left an indelible mark on modern history as one of the most evil regimes of modern times. From the signing of the Treaty of Versailles in 1919 to the hanging docks at Nuremberg in 1947, this uncompromising documentary follows Adolf Hitler's cunning and ruthless quest to take over Germany, his brainwashing of Germany's young people, his insane dreams of Jewish genocide, his creation of one of the world's most feared military forces, and his pursuit of global domination. Including interviews by eye-witnesses of the takeover of France, the invasion at Normandy, the death camps of Auschwitz-Birkenau, the military failure at Stalingrad, and the fall of Berlin, Hitler & The Nazis is the true story of the rise and fall of a hate-fueled and manipulative madman, and those who faithfully followed him."", u'Rated': u'N/A', u'Title': u'Hitler and the Nazis', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.7/10'}], u'Writer': u'N/A', u'Actors': u'Chris Andrews', u'Type': u'series', u'imdbVotes': u'120', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTc5ZmQyMjQtODU5Ny00M2ZiLTk2YmQtNzAxMzU3NTEyODQ3XkEyXkFqcGdeQXVyMjc3ODgxMDg@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Documentary, Biography, History', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'300 min', u'imdbID': u'tt3239958', u'Metascore': u'N/A', u'imdbRating': u'6.7', u'Year': u'2011\u2013'}","documentary, biography, history",N/A,300,n/a
tt6090814,Hamilton's Pharmacopeia,"{u'Plot': u""Join an incredible journey through the history, chemistry and societal impacts of the world's most extraordinary drugs."", u'Rated': u'N/A', u'Title': u""Hamilton's Pharmacopeia"", u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.7/10'}], u'Writer': u'N/A', u'Actors': u'N/A', u'Type': u'series', u'imdbVotes': u'98', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTllZDZkNTItYTc0My00NDViLWJmOGEtOWYzODA4ZGQ5NzRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDMxMzczMTk@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'27 Sep 2016', u'Awards': u'N/A', u'Genre': u'Documentary', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt6090814', u'Metascore': u'N/A', u'imdbRating': u'8.7', u'Year': u'2011\u2013'}",documentary,27 Sep 2016,n/a,n/a
tt2087636,Zombies and Cheerleaders,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Zombies and Cheerleaders', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.8/10'}], u'Writer': u'Joseph Raso, David Light', u'Actors': u'John DeLuca, Luke Benward, Macee Binns, Nick Galarza', u'Type': u'series', u'imdbVotes': u'13', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'Todd Strauss-Schulson', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Musical', u'Response': u'True', u'Language': u'N/A', u'Country': u'N/A', u'Runtime': u'N/A', u'imdbID': u'tt2087636', u'Metascore': u'N/A', u'imdbRating': u'7.8', u'Year': u'2011'}",musical,N/A,n/a,n/a
tt3161176,The Completionist,"{u'Plot': u'The Completionist, a man who loves to complete games 100%, reviews and completes various games.', u'Rated': u'N/A', u'Title': u'The Completionist', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.5/10'}], u'Writer': u'Jirard Khalil', u'Actors': u'Jirard Khalil', u'Type': u'series', u'imdbVotes': u'114', u'totalSeasons': u'5', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYzQwOWQ3YjAtM2IwNC00ZmMwLTllMDgtYzExNjE3Y2I0YjU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjM2NDIwMzQ@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Short, Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt3161176', u'Metascore': u'N/A', u'imdbRating': u'7.5', u'Year': u'2011\u2013'}","short, comedy",N/A,n/a,5
tt1579911,Monsuno,"{u'Plot': u'The series revolves around re-awakened Monster DNA, called Monsuno, that finds its way into the unsuspecting hands of adventure-seeking teenagers Chase, Jinja, and Bren. Accompanied by their Monsuno, Lock, Charger, and Quickforce, they are searching for Chase\'s father Jeredy Suno, the creator of the Monsuno. They are soon joined by Beyal, a monk from the Himalayas along with his Monsuno Glowblade. Beyal often speaks of five people that with the help of their Monsuno, could change the world. It just so happens that they are that five, along with Dax, a teenager who along with his Monsuno Airswitch, opposes the team and is disliked among most people. The team has yet to befriend him and persuade him to join their cause. They are also on the run from an agency called ""S.T.O.R.M."" (Strategic Tactical Operatives for Recovery of Monsuno) who\'s plans are still in question.', u'Rated': u'N/A', u'Title': u'Monsuno', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'3.9/10'}], u'Writer': u'Jared Wolfson, Joe Casey, Joe Kelly, Jeremy Padawer, Duncan Rouleau, Steven T. Seagle', u'Actors': u'Karen Strassman, Cam Clarke, Christopher Corey Smith', u'Type': u'series', u'imdbVotes': u'216', u'totalSeasons': u'3', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMjAyNDgwMl5BMl5BanBnXkFtZTcwMTk1NjM1OA@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation', u'Response': u'True', u'Language': u'English', u'Country': u'USA, Japan', u'Runtime': u'N/A', u'imdbID': u'tt1579911', u'Metascore': u'N/A', u'imdbRating': u'3.9', u'Year': u'2011\u2013'}",animation,N/A,n/a,3
