,json,title_rough,check,title
0,"{u'imdbID': u'tt3523560', u'Year': u'2015\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMjMxOTE2MF5BMl5BanBnXkFtZTgwNTA4NjcwNDE@._V1_SX300.jpg', u'Title': u'Little Charmers'}",January 12 - Little Charmers,0.0,Little Charmers
1,"{u'imdbID': u'tt3596178', u'Year': u'2015\u20132016', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjMxNzA1MDE5Nl5BMl5BanBnXkFtZTgwODI3OTgyNDE@._V1_SX300.jpg', u'Title': u'Bella and the Bulldogs'}",January 17 - Bella and the Bulldogs,0.0,Bella and the Bulldogs
2,"{u'imdbID': u'tt3521854', u'Year': u'2015\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQzMzE1NDQ3Nl5BMl5BanBnXkFtZTgwMDYyMjI2NDE@._V1_SX300.jpg', u'Title': u'Power Rangers Dino Charge'}",February 7 - Power Rangers Dino Charge,0.0,Power Rangers Dino Charge
3,"{u'imdbID': u'tt3219170', u'Year': u'2015\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzYzOTAzNTgyNV5BMl5BanBnXkFtZTgwNjcwNjYxNTE@._V1_SX300.jpg', u'Title': u'Harvey Beaks'}",March 29 - Harvey Beaks,0.0,Harvey Beaks
4,"{u'imdbID': u'tt4502154', u'Year': u'2015\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzk1MTUxNzA5OV5BMl5BanBnXkFtZTgwOTEwOTYyNzE@._V1_SX300.jpg', u'Title': u'Make It Pop'}",April 9 - Make It Pop,0.0,Make It Pop
5,"{u'imdbID': u'tt4452630', u'Year': u'2015\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NjY2OTk5OF5BMl5BanBnXkFtZTgwODU4NDQwMDI@._V1_SX300.jpg', u'Title': u'Code Black'}",September 30 - Code Black,0.0,Code Black
6,"{u'imdbID': u'tt3443274', u'Year': u'2014\u20132015', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5OTgzMTYwMl5BMl5BanBnXkFtZTgwMjM1MzY5MDE@._V1_SX300.jpg', u'Title': u'Every Witch Way'}",January 1 - Every Witch Way,0.0,Every Witch Way
7,"{u'imdbID': u'tt2657258', u'Year': u'2014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MjY5MDIzN15BMl5BanBnXkFtZTgwODYxOTEwMTE@._V1_SX300.jpg', u'Title': u'Killer Women'}",January 7 - Killer Women,0.0,Killer Women
8,"{u'imdbID': u'tt2693776', u'Year': u'2014', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BOTk4OTM0NDI0NV5BMl5BanBnXkFtZTgwOTY4NjQ3MDE@._V1_SX300.jpg', u'Title': u'Intelligence'}",January 8 - Intelligence,0.0,Intelligence
9,"{u'imdbID': u'tt2758950', u'Year': u'2014\u20132015', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzg3NjcyNTI5NF5BMl5BanBnXkFtZTgwNDAyMjU4MzE@._V1_SX300.jpg', u'Title': u'Helix'}",January 10 - Helix,0.0,Helix
10,"{u'imdbID': u'tt2769458', u'Year': u'2014\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMzAzNzM4NjA4NV5BMl5BanBnXkFtZTgwMDIyNzMwMjE@._V1_SX300.jpg', u'Title': u""Sheriff Callie's Wild West""}",January 20 - Sheriff Callie's Wild West,0.0,Sheriff Callie's Wild West
11,"{u'imdbID': u'tt3514798', u'Year': u'2014\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTc5NTgyNzY0Nl5BMl5BanBnXkFtZTgwODA5MTAxMzE@._V1_SX300.jpg', u'Title': u'Wallykazam!'}",February 3 - Wallykazam!,0.0,Wallykazam!
12,"{u'imdbID': u'tt3481544', u'Year': u'2014\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjMzNTU4MjIzNl5BMl5BanBnXkFtZTgwNjY4MTAxMzE@._V1_SX300.jpg', u'Title': u'Breadwinners'}",February 17 - Breadwinners,0.0,Breadwinners
13,"{u'imdbID': u'tt2661044', u'Year': u'2014\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYWIzNDMwNGYtMjk5ZC00ZjA2LTg4ZDgtZmI5NDEzMzdkZTc5XkEyXkFqcGdeQXVyNDExMTIxMDc@._V1_SX300.jpg', u'Title': u'The 100'}",March 19 -The 100,0.0,The 100
14,check out later,April 5 - Zack & Quack,0.0,Zack & Quack
15,"{u'imdbID': u'tt2136138', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NjI5MDk0Nl5BMl5BanBnXkFtZTgwOTk5MjE0MDE@._V1_SX300.jpg', u'Title': u'Sofia the First'}",January 11 - Sofia the First,0.0,Sofia the First
16,"{u'imdbID': u'tt2486176', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNTQ0NTUzNjIxMl5BMl5BanBnXkFtZTgwMTE0OTAxMzE@._V1_SX300.jpg', u'Title': u'Chasing the Saturdays'}",January 20 - Chasing The Saturdays,0.0,Chasing The Saturdays
17,check out later,January 30 - The Americans (2013),0.0,The Americans (2013)
18,"{u'imdbID': u'tt2827502', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTYzNTk2OV5BMl5BanBnXkFtZTgwMjk5ODAxMzE@._V1_SX300.jpg', u'Title': u'Lalaloopsy'}",March 29 - Lalaloopsy,0.0,Lalaloopsy
19,"{u'imdbID': u'tt2746314', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjE3ODQwMjQ4NF5BMl5BanBnXkFtZTgwMjkxNzMwMjE@._V1_SX300.jpg', u'Title': u'Henry Hugglemonster'}",April 15 - Henry Hugglemonster,0.0,Henry Hugglemonster
20,"{u'imdbID': u'tt2869898', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTg0MTI1NjQyOV5BMl5BanBnXkFtZTgwMjgzODAxMzE@._V1_SX300.jpg', u'Title': u'Sanjay and Craig'}",May 25 - Sanjay and Craig,0.0,Sanjay and Craig
21,check out later,"June 8 - Disrupt with Karen Finney, Sam & Cat",0.0,"Disrupt with Karen Finney, Sam & Cat"
22,"{u'imdbID': u'tt2226342', u'Year': u'2013\u20132016', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTM0NzU0ODA0Ml5BMl5BanBnXkFtZTgwMjE5ODIxOTE@._V1_SX300.jpg', u'Title': u'Devious Maids'}",June 23 - Devious Maids,0.0,Devious Maids
