,json,title_rough,check,title,imdb_id,big_json,seasons,cancelled,runtime,genres,parental_rating,imdb_rating,release_date,plot,year,type,votes,metascore,keywords,first_year,is_new
0,"{u'imdbID': u'tt3523560', u'Title': u'Little Charmers', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMjMxOTE2MF5BMl5BanBnXkFtZTgwNTA4NjcwNDE@._V1_SX300.jpg', u'Year': u'2015–'}",January 12 - Little Charmers,1,Little Charmers,tt3523560,"{u'totalSeasons': u'2', u'Plot': u'Hip and edge animation that welcomes to a world of magic and imagination. With a little patience, determination and a flick of their magic wands, anything is possible.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'Korean', u'Title': u'Little Charmers', u'Country': u'South Korea, USA', u'Writer': u'Irene Weibel', u'Metascore': u'N/A', u'imdbRating': u'6.4', u'Director': u'N/A', u'Released': u'12 Jan 2015', u'Actors': u'Addison Holley, Alexa Torrington, Andrew Sabiston, Matilda Gilbert', u'Year': u'2015–', u'Genre': u'Animation', u'Awards': u'3 nominations.', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMjMxOTE2MF5BMl5BanBnXkFtZTgwNTA4NjcwNDE@._V1_SX300.jpg', u'imdbVotes': u'65', u'imdbID': u'tt3523560'}",2,0,,Animation,,6.4,12 Jan 2015,"Hip and edge animation that welcomes to a world of magic and imagination. With a little patience, determination and a flick of their magic wands, anything is possible.",2015–,series,65,,[],2015,1
1,"{u'imdbID': u'tt3596178', u'Title': u'Bella and the Bulldogs', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjMxNzA1MDE5Nl5BMl5BanBnXkFtZTgwODI3OTgyNDE@._V1_SX300.jpg', u'Year': u'2015–2016'}",January 17 - Bella and the Bulldogs,1,Bella and the Bulldogs,tt3596178,"{u'totalSeasons': u'2', u'Plot': u'Follows a perky head cheerleader named Bella whose life in Texas takes an unexpected twist when she becomes the new quarterback for her school team, the Bulldogs.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Bella and the Bulldogs', u'Country': u'USA', u'Writer': u'Jonathan Butler, Gabriel Garza', u'Metascore': u'N/A', u'imdbRating': u'5.1', u'Director': u'N/A', u'Released': u'17 Jan 2015', u'Actors': u'Brec Bassinger, Coy Stewart, Jackie Radinsky, Buddy Handleson', u'Year': u'2015–2016', u'Genre': u'Comedy, Family', u'Awards': u'3 wins.', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjMxNzA1MDE5Nl5BMl5BanBnXkFtZTgwODI3OTgyNDE@._V1_SX300.jpg', u'imdbVotes': u'848', u'imdbID': u'tt3596178'}",2,0,30 min,"Comedy, Family",,5.1,17 Jan 2015,"Follows a perky head cheerleader named Bella whose life in Texas takes an unexpected twist when she becomes the new quarterback for her school team, the Bulldogs.",2015–2016,series,848,,"[texas, cheerleader, high school football, football player, female athlete, sportswoman, teenage girl, high school, football, girl on boys team, female football player, teenage protagonist, female protagonist, four word title, character name in title]",2015,1
2,"{u'imdbID': u'tt3521854', u'Title': u'Power Rangers Dino Charge', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQzMzE1NDQ3Nl5BMl5BanBnXkFtZTgwMDYyMjI2NDE@._V1_SX300.jpg', u'Year': u'2015–'}",February 7 - Power Rangers Dino Charge,1,Power Rangers Dino Charge,tt3521854,"{u'totalSeasons': u'2', u'Plot': u'On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to reclaim the Energems and destroy our planet. A new team of Power Rangers must find the lost Energems and use their Dino Chargers to power up an arsenal of dino-fueled battle gear, Zords and Megazords to save the world. Will the Power Rangers be able to save our planet?', u'Rated': u'TV-Y7', u'Response': u'True', u'Language': u'English', u'Title': u'Power Rangers Dino Charge', u'Country': u'USA', u'Writer': u'Haim Saban', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Director': u'N/A', u'Released': u'07 Feb 2015', u'Actors': u'Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber', u'Year': u'2015–', u'Genre': u'Action, Adventure, Fantasy', u'Awards': u'N/A', u'Runtime': u'21 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMzE1NDQ3Nl5BMl5BanBnXkFtZTgwMDYyMjI2NDE@._V1_SX300.jpg', u'imdbVotes': u'547', u'imdbID': u'tt3521854'}",2,0,21 min,"Action, Adventure, Fantasy",TV-Y7,7.0,07 Feb 2015,"On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to reclaim the Energems and destroy our planet. A new team of Power Rangers must find the lost Energems and use their Dino Chargers to power up an arsenal of dino-fueled battle gear, Zords and Megazords to save the world. Will the Power Rangers be able to save our planet?",2015–,series,547,,[power rangers],2015,1
3,"{u'imdbID': u'tt3219170', u'Title': u'Harvey Beaks', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzYzOTAzNTgyNV5BMl5BanBnXkFtZTgwNjcwNjYxNTE@._V1_SX300.jpg', u'Year': u'2015–'}",March 29 - Harvey Beaks,1,Harvey Beaks,tt3219170,"{u'totalSeasons': u'2', u'Plot': u'A mild-mannered young bird and his best friends, a pair of rambunctious siblings called Fee and Foo, seek adventure and mischief in the magical forest that they call home.', u'Rated': u'TV-Y7', u'Response': u'True', u'Language': u'English', u'Title': u'Harvey Beaks', u'Country': u'USA', u'Writer': u'C.H. Greenblatt', u'Metascore': u'N/A', u'imdbRating': u'6.9', u'Director': u'N/A', u'Released': u'29 Mar 2015', u'Actors': u'Max Charles, Angelina Wahler, C.H. Greenblatt, Scott Adsit', u'Year': u'2015–', u'Genre': u'Animation, Comedy, Family', u'Awards': u'3 nominations.', u'Runtime': u'22 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzYzOTAzNTgyNV5BMl5BanBnXkFtZTgwNjcwNjYxNTE@._V1_SX300.jpg', u'imdbVotes': u'646', u'imdbID': u'tt3219170'}",2,0,22 min,"Animation, Comedy, Family",TV-Y7,6.9,29 Mar 2015,"A mild-mannered young bird and his best friends, a pair of rambunctious siblings called Fee and Foo, seek adventure and mischief in the magical forest that they call home.",2015–,series,646,,[],2015,1
4,"{u'imdbID': u'tt4502154', u'Title': u'Make It Pop', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzk1MTUxNzA5OV5BMl5BanBnXkFtZTgwOTEwOTYyNzE@._V1_SX300.jpg', u'Year': u'2015–'}",April 9 - Make It Pop,1,Make It Pop,tt4502154,"{u'totalSeasons': u'3', u'Plot': u'Sun Hi, Jodi and Corki are three girls with different personalities. Attending Mackendrick Prep, all three are randomly selected to room together. Together they must achieve stardom in Kpop while balancing school and other relationships.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Make It Pop', u'Country': u'USA', u'Writer': u'Tommy Lynch, Nick Cannon', u'Metascore': u'N/A', u'imdbRating': u'5.7', u'Director': u'N/A', u'Released': u'26 Mar 2015', u'Actors': u'Erika Tham, Megan Lee, Louriza Tronco, Dale Whibley', u'Year': u'2015–', u'Genre': u'Comedy, Drama, Musical', u'Awards': u'5 nominations.', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzk1MTUxNzA5OV5BMl5BanBnXkFtZTgwOTEwOTYyNzE@._V1_SX300.jpg', u'imdbVotes': u'364', u'imdbID': u'tt4502154'}",3,0,30 min,"Comedy, Drama, Musical",,5.7,26 Mar 2015,"Sun Hi, Jodi and Corki are three girls with different personalities. Attending Mackendrick Prep, all three are randomly selected to room together. Together they must achieve stardom in Kpop while balancing school and other relationships.",2015–,series,364,,[],2015,1
5,"{u'imdbID': u'tt4452630', u'Title': u'Code Black', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NjY2OTk5OF5BMl5BanBnXkFtZTgwODU4NDQwMDI@._V1_SX300.jpg', u'Year': u'2015–'}",September 30 - Code Black,1,Code Black,tt4452630,"{u'totalSeasons': u'2', u'Plot': u'This show is based on the award-winning documentary of the same name. This medical drama follows the staff in an extremely busy emergency room as they cope with a staggering amount of patients, which oftentimes outweighs the hospital's resources, resulting in a code black.', u'Rated': u'TV-14', u'Response': u'True', u'Language': u'English', u'Title': u'Code Black', u'Country': u'USA', u'Writer': u'Michael Seitzman', u'Metascore': u'N/A', u'imdbRating': u'7.8', u'Director': u'N/A', u'Released': u'30 Sep 2015', u'Actors': u'Marcia Gay Harden, Melanie Chandra, Harry Ford, Benjamin Hollingsworth', u'Year': u'2015–', u'Genre': u'Drama', u'Awards': u'1 win & 6 nominations.', u'Runtime': u'42 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NjY2OTk5OF5BMl5BanBnXkFtZTgwODU4NDQwMDI@._V1_SX300.jpg', u'imdbVotes': u'4,931', u'imdbID': u'tt4452630'}",2,0,42 min,Drama,TV-14,7.8,30 Sep 2015,"This show is based on the award-winning documentary of the same name. This medical drama follows the staff in an extremely busy emergency room as they cope with a staggering amount of patients, which oftentimes outweighs the hospital's resources, resulting in a code black.",2015–,series,"4,931",,"[hospital, medical, los angeles california, latex gloves, doctor, nurse]",2015,1
6,"{u'imdbID': u'tt3443274', u'Title': u'Every Witch Way', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5OTgzMTYwMl5BMl5BanBnXkFtZTgwMjM1MzY5MDE@._V1_SX300.jpg', u'Year': u'2014–2015'}",January 1 - Every Witch Way,1,Every Witch Way,tt3443274,"{u'totalSeasons': u'4', u'Plot': u'When Emma and her single father move to a new town, she thinks all she'll have to deal with is making new friends - until she starts developing strange powers and discovers she's part of a magical world, full of witches, Guardians and Kanays. Soon, she's trying to master her power, before spoiled, bad witch Maddie steals them. To make matters worse, she falls hard and fast for Daniel, the school's swim team champion and Maddie's boyfriend. Over time Emma learns to control her powers and finds out that she is the Chosen One (the most powerful witch ever born). In addition, she discovers that the school's evil principal wants to steal the Chosen One's powers. Emma must stop her and keep her powers hidden from a skeptical Daniel, who hates magic. Everything comes to a head during the big school dance, when the Principal holds Daniel hostage and the two young witches must work together to defeat her.', u'Rated': u'TV-G', u'Response': u'True', u'Language': u'English', u'Title': u'Every Witch Way', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'4.8', u'Director': u'N/A', u'Released': u'01 Jan 2014', u'Actors': u'Paola Andino, Nick Merico, Paris Smith, Daniela Nieves', u'Year': u'2014–2015', u'Genre': u'Comedy, Drama, Family', u'Awards': u'3 wins & 8 nominations.', u'Runtime': u'23 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5OTgzMTYwMl5BMl5BanBnXkFtZTgwMjM1MzY5MDE@._V1_SX300.jpg', u'imdbVotes': u'1,324', u'imdbID': u'tt3443274'}",4,0,23 min,"Comedy, Drama, Family",TV-G,4.8,01 Jan 2014,"When Emma and her single father move to a new town, she thinks all she'll have to deal with is making new friends - until she starts developing strange powers and discovers she's part of a magical world, full of witches, Guardians and Kanays. Soon, she's trying to master her power, before spoiled, bad witch Maddie steals them. To make matters worse, she falls hard and fast for Daniel, the school's swim team champion and Maddie's boyfriend. Over time Emma learns to control her powers and finds out that she is the Chosen One (the most powerful witch ever born). In addition, she discovers that the school's evil principal wants to steal the Chosen One's powers. Emma must stop her and keep her powers hidden from a skeptical Daniel, who hates magic. Everything comes to a head during the big school dance, when the Principal holds Daniel hostage and the two young witches must work together to defeat her.",2014–2015,series,"1,324",,[witch],2014,0
7,"{u'imdbID': u'tt2657258', u'Title': u'Killer Women', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MjY5MDIzN15BMl5BanBnXkFtZTgwODYxOTEwMTE@._V1_SX300.jpg', u'Year': u'2014'}",January 7 - Killer Women,1,Killer Women,tt2657258,"{u'totalSeasons': u'1', u'Plot': u'Centers on Molly Parker, one of only two women in the notoriously male Texas Rangers, a ballsy, beautiful badass who knows how to get to the truth and isn't afraid to ruffle a few feathers on her way there.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Killer Women', u'Country': u'USA', u'Writer': u'Hannah Shakespeare', u'Metascore': u'N/A', u'imdbRating': u'6.0', u'Director': u'N/A', u'Released': u'07 Jan 2014', u'Actors': u'Tricia Helfer, Marc Blucas, Michael Trucco, Alex Fernandez', u'Year': u'2014', u'Genre': u'Drama, Western', u'Awards': u'1 nomination.', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MjY5MDIzN15BMl5BanBnXkFtZTgwODYxOTEwMTE@._V1_SX300.jpg', u'imdbVotes': u'1,802', u'imdbID': u'tt2657258'}",1,1,60 min,"Drama, Western",,6.0,07 Jan 2014,"Centers on Molly Parker, one of only two women in the notoriously male Texas Rangers, a ballsy, beautiful badass who knows how to get to the truth and isn't afraid to ruffle a few feathers on her way there.",2014,series,"1,802",,"[texas ranger, female lead, remake, based on tv series]",2014,0
8,"{u'imdbID': u'tt2693776', u'Title': u'Intelligence', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BOTk4OTM0NDI0NV5BMl5BanBnXkFtZTgwOTY4NjQ3MDE@._V1_SX300.jpg', u'Year': u'2014'}",January 8 - Intelligence,1,Intelligence,tt2693776,"{u'totalSeasons': u'1', u'Plot': u'A drama centered on a high-tech intelligence operative who is enhanced with a super-computer microchip in his brain, and the director of the elite government cyber-security agency who supports him.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Intelligence', u'Country': u'USA', u'Writer': u'Michael Seitzman', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Director': u'N/A', u'Released': u'07 Jan 2014', u'Actors': u'Josh Holloway, Meghan Ory, John Billingsley, P.J. Byrne', u'Year': u'2014', u'Genre': u'Action, Drama, Sci-Fi', u'Awards': u'N/A', u'Runtime': u'42 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BOTk4OTM0NDI0NV5BMl5BanBnXkFtZTgwOTY4NjQ3MDE@._V1_SX300.jpg', u'imdbVotes': u'16,210', u'imdbID': u'tt2693776'}",1,1,42 min,"Action, Drama, Sci-Fi",,7.0,07 Jan 2014,"A drama centered on a high-tech intelligence operative who is enhanced with a super-computer microchip in his brain, and the director of the elite government cyber-security agency who supports him.",2014,series,"16,210",,[chip in head],2014,0
9,"{u'imdbID': u'tt2758950', u'Title': u'Helix', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzg3NjcyNTI5NF5BMl5BanBnXkFtZTgwNDAyMjU4MzE@._V1_SX300.jpg', u'Year': u'2014–2015'}",January 10 - Helix,1,Helix,tt2758950,"{u'totalSeasons': u'2', u'Plot': u'A team of scientists are thrust into a potentially life-or-death situation in this thriller, which begins with the group being deployed to the Arctic to secretly investigate what could be a disease outbreak.', u'Rated': u'TV-PG', u'Response': u'True', u'Language': u'English', u'Title': u'Helix', u'Country': u'USA, Canada', u'Writer': u'Cameron Porsandeh', u'Metascore': u'N/A', u'imdbRating': u'6.9', u'Director': u'N/A', u'Released': u'10 Jan 2014', u'Actors': u'Billy Campbell, Kyra Zagorsky, Mark Ghanimé, Jordan Hayes', u'Year': u'2014–2015', u'Genre': u'Sci-Fi, Thriller', u'Awards': u'1 nomination.', u'Runtime': u'40 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzg3NjcyNTI5NF5BMl5BanBnXkFtZTgwNDAyMjU4MzE@._V1_SX300.jpg', u'imdbVotes': u'23,792', u'imdbID': u'tt2758950'}",2,0,40 min,"Sci-Fi, Thriller",TV-PG,6.9,10 Jan 2014,"A team of scientists are thrust into a potentially life-or-death situation in this thriller, which begins with the group being deployed to the Arctic to secretly investigate what could be a disease outbreak.",2014–2015,series,"23,792",,"[scientist, cdc, outbreak, arctic, pandemic, centers for disease control and prevention, one word series title, research center, deoxyribonucleic acid, dna, science station, genetic experiment, female medical doctor, female doctor, morphine addict, missing children, monkey, rat attack, quarantine, no cellphone signal, science run amok, isolation, head in a jar, zombie, virus, babe scientist]",2014,0
